
Network Stats for the last 111859 seconds:

Total Sent Spatial Packets: 1401066
Total Requested to Send Spatial Packets: 3730925
Total Sent Actor Motion Hints Packets: 63566
Percentage of Usual Bandwidth Used: 38.65%


Total Sent: 2434336, 0B (261.93MB)
135 ClientCacheBlobStatusPacket             2.57MB, Num 30377, Avg 88B
175 SubChunkRequestPacket                   1.64MB, Num 26265, Avg 65B
1   LoginPacket                             0.87MB, Num 18, Avg 49.57KB
30  InventoryTransactionPacket              188.73KB, Num 2192, Avg 88B
31  MobEquipmentPacket                      100.58KB, Num 1898, Avg 54B
33  InteractPacket                          27.61KB, Num 1914, Avg 14B
36  PlayerActionPacket                      26.88KB, Num 2061, Avg 13B
44  AnimatePacket                           20.28KB, Num 5252, Avg 3B
147 ItemStackRequestPacket                  15.26KB, Num 451, Avg 34B
322 ClientMovementPredictionSyncPacket      7.51KB, Num 126, Avg 61B
56  BlockActorDataPacket                    2.92KB, Num 9, Avg 332B
47  ContainerClosePacket                    1.84KB, Num 472, Avg 4B
27  ActorEventPacket                        1.72KB, Num 220, Avg 8B
9   TextPacket                              1.63KB, Num 36, Avg 46B
152 EmoteListPacket                         0.83KB, Num 14, Avg 60B
321 ClientCameraAimAssistPacket             345B, Num 69, Avg 5B
45  RespawnPacket                           320B, Num 20, Avg 16B
312 ServerboundLoadingScreenPacket          208B, Num 42, Avg 4B
8   ResourcePackClientResponsePacket        136B, Num 34, Avg 4B
307 SetPlayerInventoryOptionsPacket         126B, Num 18, Avg 7B
193 RequestNetworkSettingsPacket            108B, Num 18, Avg 6B
68  MapInfoRequestPacket                    88B, Num 8, Avg 11B
138 EmotePacket                             61B, Num 1, Avg 61B
129 ClientCacheStatusPacket                 51B, Num 17, Avg 3B
69  RequestChunkRadiusPacket                51B, Num 17, Avg 3B
113 SetLocalPlayerAsInitializedPacket       47B, Num 16, Avg 2B
77  CommandRequestPacket                    39B, Num 1, Avg 39B
141 AnvilDamagePacket                       32B, Num 4, Avg 8B
4   ClientToServerHandshakePacket           17B, Num 17, Avg 1B
185 RequestPermissionsPacket                13B, Num 1, Avg 13B
154 PositionTrackingDBClientRequestPacket   4B, Num 1, Avg 4B
102 ServerSettingsRequestPacket             1B, Num 1, Avg 1B

